tip	date	distance	residual
KC880399_24-04-2010	2010.309589041096	0.0029771619746985604	-0.0016045563532993586
KC880386_10-05-2010	2010.3534246575343	0.0029772153512650505	-0.002087066055672659
KC880390_08-04-2010	2010.2657534246575	0.004087354408119612	-1.1800840934963336E-5
KC880398_04-04-2010	2010.2547945205479	0.0018695735180376122	-0.0021089409612837923
KC880384_20-05-2010	2010.3808219178081	0.005199899439629142	-1.659838916468247E-4
KC880393_15-03-2010	2010.2	0.0018694672391451413	-0.0015058433914997486
KC880383_10-04-2010	2010.2712328767122	0.0029772377477911417	-0.001182237886131796
KC880391_03-03-2010	2010.1671232876713	0.002977241194275279	-3.614712716299177E-5
KC880400_20-04-2010	2010.2986301369863	0.0029772428017512996	-0.0014838347565098954
KC880387_12-04-2010	2010.2767123287672	0.0018691446514063743	-0.0023506513673849255
